name,college,major,paper
马刚,中核控制系统工程有限公司,核科学技术;电力工业;计算机硬件技术;,基于企业质量问题知识图谱的构建及应用
李楠,中核控制系统工程有限公司,核科学技术;电力工业;自动化技术;,基于企业质量问题知识图谱的构建及应用
郭叶鹏,中核控制系统工程有限公司,图书情报与数字图书馆;企业经济;,基于企业质量问题知识图谱的构建及应用
房辉,安徽理工大学,计算机软件及计算机应用;,基于众包的微博热搜知识图谱的构建与研究
王鑫,东南大学,计算机软件及计算机应用;互联网技术;,基于YANG模型的网络领域知识图谱构建及应用
王旭鹏,重庆邮电大学,计算机软件及计算机应用;图书情报与数字图书馆;,基于知识图谱的人机交互话题推荐方法研究
赵红睿,北京邮电大学,计算机软件及计算机应用;互联网技术;,面向产品信息安全评估的知识图谱构建及应用
吕英振,北京邮电大学,计算机软件及计算机应用;,基于知识图谱的电影知识问答系统设计与实现
许祺,北京邮电大学,机械工业;电力工业;,基于知识图谱的CNC故障诊断系统
陈剑冲,北京邮电大学,计算机软件及计算机应用;,面向特定领域的知识图谱构建与实现
盛泳潘,电子科技大学,计算机软件及计算机应用;电信技术;自动化技术;,面向知识图谱的学习算法研究与应用
朱小龙,长江大学,计算机软件及计算机应用;地质学;石油天然气工业;,基于海量文本数据的知识图谱自动构建算法
谢忠,中国地质大学(武汉),计算机软件及计算机应用;自然地理学和测绘学;电信技术;,基于海量文本数据的知识图谱自动构建算法
吴金盛,北京邮电大学,电力工业;计算机软件及计算机应用;,基于知识图谱的会话型推荐系统的研究与实现
张杰,北京邮电大学,计算机软件及计算机应用;企业经济;,基于知识图谱的企业信用评价系统的设计与实现
韦波,上海师范大学,文化;图书情报与数字图书馆;,我国非遗研究的知识图谱构建与分析
邢萌,陆军装甲兵学院,计算机软件及计算机应用;电信技术;武器工业与军事技术;,军事领域知识图谱的构建及应用
杨朝红,陆军装甲兵学院,计算机软件及计算机应用;自动化技术;互联网技术;,军事领域知识图谱的构建及应用
毕建权,陆军装甲兵学院,仪器仪表工业;武器工业与军事技术;电信技术;,军事领域知识图谱的构建及应用
丁浩宸,中国林业科学院,林业;计算机软件及计算机应用;,基于本体的油茶中文知识图谱构建与应用
王忠明,中国林业科学院林业科技信息研究所,林业;计算机软件及计算机应用;农业经济;,基于本体的油茶中文知识图谱构建与应用
